database,table,processed_database,processed_table,database_and_table
academic,author,academic,author,academic author
academic,conference,academic,conference,academic conference
academic,domain,academic,domain,academic domain
academic,domain_author,academic,domain author,academic domain author
academic,domain_conference,academic,domain conference,academic domain conference
academic,journal,academic,journal,academic journal
academic,domain_journal,academic,domain journal,academic domain journal
academic,keyword,academic,keyword,academic keyword
academic,domain_keyword,academic,domain keyword,academic domain keyword
academic,publication,academic,publication,academic publication
academic,domain_publication,academic,domain publication,academic domain publication
academic,organization,academic,organization,academic organization
academic,publication_keyword,academic,publication keyword,academic publication keyword
academic,writes,academic,writes,academic writes
academic,cite,academic,cite,academic cite
activity_1,Activity,activity 1,Activity,activity 1 Activity
activity_1,Participates_in,activity 1,Participates in,activity 1 Participates in
activity_1,Faculty_Participates_in,activity 1,Faculty Participates in,activity 1 Faculty Participates in
activity_1,Student,activity 1,Student,activity 1 Student
activity_1,Faculty,activity 1,Faculty,activity 1 Faculty
aircraft,pilot,aircraft,pilot,aircraft pilot
aircraft,aircraft,aircraft,aircraft,aircraft aircraft
aircraft,match,aircraft,match,aircraft match
aircraft,airport,aircraft,airport,aircraft airport
aircraft,airport_aircraft,aircraft,airport aircraft,aircraft airport aircraft
allergy_1,Allergy_Type,allergy 1,Allergy Type,allergy 1 Allergy Type
allergy_1,Has_Allergy,allergy 1,Has Allergy,allergy 1 Has Allergy
allergy_1,Student,allergy 1,Student,allergy 1 Student
apartment_rentals,Apartment_Buildings,apartment rentals,Apartment Buildings,apartment rentals Apartment Buildings
apartment_rentals,Apartments,apartment rentals,Apartments,apartment rentals Apartments
apartment_rentals,Apartment_Facilities,apartment rentals,Apartment Facilities,apartment rentals Apartment Facilities
apartment_rentals,Guests,apartment rentals,Guests,apartment rentals Guests
apartment_rentals,Apartment_Bookings,apartment rentals,Apartment Bookings,apartment rentals Apartment Bookings
apartment_rentals,View_Unit_Status,apartment rentals,View Unit Status,apartment rentals View Unit Status
architecture,architect,architecture,architect,architecture architect
architecture,bridge,architecture,bridge,architecture bridge
architecture,mill,architecture,mill,architecture mill
assets_maintenance,Third_Party_Companies,assets maintenance,Third Party Companies,assets maintenance Third Party Companies
assets_maintenance,Maintenance_Contracts,assets maintenance,Maintenance Contracts,assets maintenance Maintenance Contracts
assets_maintenance,Parts,assets maintenance,Parts,assets maintenance Parts
assets_maintenance,Skills,assets maintenance,Skills,assets maintenance Skills
assets_maintenance,Staff,assets maintenance,Staff,assets maintenance Staff
assets_maintenance,Assets,assets maintenance,Assets,assets maintenance Assets
assets_maintenance,Asset_Parts,assets maintenance,Asset Parts,assets maintenance Asset Parts
assets_maintenance,Maintenance_Engineers,assets maintenance,Maintenance Engineers,assets maintenance Maintenance Engineers
assets_maintenance,Engineer_Skills,assets maintenance,Engineer Skills,assets maintenance Engineer Skills
assets_maintenance,Fault_Log,assets maintenance,Fault Log,assets maintenance Fault Log
assets_maintenance,Engineer_Visits,assets maintenance,Engineer Visits,assets maintenance Engineer Visits
assets_maintenance,Part_Faults,assets maintenance,Part Faults,assets maintenance Part Faults
assets_maintenance,Fault_Log_Parts,assets maintenance,Fault Log Parts,assets maintenance Fault Log Parts
assets_maintenance,Skills_Required_To_Fix,assets maintenance,Skills Required To Fix,assets maintenance Skills Required To Fix
baseball_1,all_star,baseball 1,all star,baseball 1 all star
baseball_1,appearances,baseball 1,appearances,baseball 1 appearances
baseball_1,manager_award,baseball 1,manager award,baseball 1 manager award
baseball_1,player_award,baseball 1,player award,baseball 1 player award
baseball_1,manager_award_vote,baseball 1,manager award vote,baseball 1 manager award vote
baseball_1,player_award_vote,baseball 1,player award vote,baseball 1 player award vote
baseball_1,batting,baseball 1,batting,baseball 1 batting
baseball_1,batting_postseason,baseball 1,batting postseason,baseball 1 batting postseason
baseball_1,player_college,baseball 1,player college,baseball 1 player college
baseball_1,fielding,baseball 1,fielding,baseball 1 fielding
baseball_1,fielding_outfield,baseball 1,fielding outfield,baseball 1 fielding outfield
baseball_1,fielding_postseason,baseball 1,fielding postseason,baseball 1 fielding postseason
baseball_1,hall_of_fame,baseball 1,hall of fame,baseball 1 hall of fame
baseball_1,home_game,baseball 1,home game,baseball 1 home game
baseball_1,manager,baseball 1,manager,baseball 1 manager
baseball_1,manager_half,baseball 1,manager half,baseball 1 manager half
baseball_1,player,baseball 1,player,baseball 1 player
baseball_1,park,baseball 1,park,baseball 1 park
baseball_1,pitching,baseball 1,pitching,baseball 1 pitching
baseball_1,pitching_postseason,baseball 1,pitching postseason,baseball 1 pitching postseason
baseball_1,salary,baseball 1,salary,baseball 1 salary
baseball_1,college,baseball 1,college,baseball 1 college
baseball_1,postseason,baseball 1,postseason,baseball 1 postseason
baseball_1,team,baseball 1,team,baseball 1 team
baseball_1,team_franchise,baseball 1,team franchise,baseball 1 team franchise
baseball_1,team_half,baseball 1,team half,baseball 1 team half
battle_death,battle,battle death,battle,battle death battle
battle_death,ship,battle death,ship,battle death ship
battle_death,death,battle death,death,battle death death
behavior_monitoring,Ref_Address_Types,behavior monitoring,Ref Address Types,behavior monitoring Ref Address Types
behavior_monitoring,Ref_Detention_Type,behavior monitoring,Ref Detention Type,behavior monitoring Ref Detention Type
behavior_monitoring,Ref_Incident_Type,behavior monitoring,Ref Incident Type,behavior monitoring Ref Incident Type
behavior_monitoring,Addresses,behavior monitoring,Addresses,behavior monitoring Addresses
behavior_monitoring,Students,behavior monitoring,Students,behavior monitoring Students
behavior_monitoring,Teachers,behavior monitoring,Teachers,behavior monitoring Teachers
behavior_monitoring,Assessment_Notes,behavior monitoring,Assessment Notes,behavior monitoring Assessment Notes
behavior_monitoring,Behavior_Incident,behavior monitoring,Behavior Incident,behavior monitoring Behavior Incident
behavior_monitoring,Detention,behavior monitoring,Detention,behavior monitoring Detention
behavior_monitoring,Student_Addresses,behavior monitoring,Student Addresses,behavior monitoring Student Addresses
behavior_monitoring,Students_in_Detention,behavior monitoring,Students in Detention,behavior monitoring Students in Detention
bike_1,station,bike 1,station,bike 1 station
bike_1,status,bike 1,status,bike 1 status
bike_1,trip,bike 1,trip,bike 1 trip
bike_1,weather,bike 1,weather,bike 1 weather
body_builder,body_builder,body builder,body builder,body builder body builder
body_builder,people,body builder,people,body builder people
book_2,publication,book 2,publication,book 2 publication
book_2,book,book 2,book,book 2 book
candidate_poll,candidate,candidate poll,candidate,candidate poll candidate
candidate_poll,people,candidate poll,people,candidate poll people
cinema,film,cinema,film,cinema film
cinema,cinema,cinema,cinema,cinema cinema
cinema,schedule,cinema,schedule,cinema schedule
city_record,city,city record,city,city record city
city_record,match,city record,match,city record match
city_record,temperature,city record,temperature,city record temperature
city_record,hosting_city,city record,hosting city,city record hosting city
climbing,mountain,climbing,mountain,climbing mountain
climbing,climber,climbing,climber,climbing climber
club_1,Student,club 1,Student,club 1 Student
club_1,Club,club 1,Club,club 1 Club
club_1,Member_of_club,club 1,Member of club,club 1 Member of club
coffee_shop,shop,coffee shop,shop,coffee shop shop
coffee_shop,member,coffee shop,member,coffee shop member
coffee_shop,happy_hour,coffee shop,happy hour,coffee shop happy hour
coffee_shop,happy_hour_member,coffee shop,happy hour member,coffee shop happy hour member
college_3,Student,college 3,Student,college 3 Student
college_3,Faculty,college 3,Faculty,college 3 Faculty
college_3,Department,college 3,Department,college 3 Department
college_3,Member_of,college 3,Member of,college 3 Member of
college_3,Course,college 3,Course,college 3 Course
college_3,Minor_in,college 3,Minor in,college 3 Minor in
college_3,Enrolled_in,college 3,Enrolled in,college 3 Enrolled in
college_3,Gradeconversion,college 3,Gradeconversion,college 3 Gradeconversion
company_employee,people,company employee,people,company employee people
company_employee,company,company employee,company,company employee company
company_employee,employment,company employee,employment,company employee employment
company_office,buildings,company office,buildings,company office buildings
company_office,Companies,company office,Companies,company office Companies
company_office,Office_locations,company office,Office locations,company office Office locations
concert_singer,stadium,concert singer,stadium,concert singer stadium
concert_singer,singer,concert singer,singer,concert singer singer
concert_singer,concert,concert singer,concert,concert singer concert
concert_singer,singer_in_concert,concert singer,singer in concert,concert singer singer in concert
county_public_safety,county_public_safety,county public safety,county public safety,county public safety county public safety
county_public_safety,city,county public safety,city,county public safety city
course_teach,course,course teach,course,course teach course
course_teach,teacher,course teach,teacher,course teach teacher
course_teach,course_arrange,course teach,course arrange,course teach course arrange
cre_Doc_Control_Systems,Ref_Document_Types,cre Doc Control Systems,Ref Document Types,cre Doc Control Systems Ref Document Types
cre_Doc_Control_Systems,Roles,cre Doc Control Systems,Roles,cre Doc Control Systems Roles
cre_Doc_Control_Systems,Addresses,cre Doc Control Systems,Addresses,cre Doc Control Systems Addresses
cre_Doc_Control_Systems,Ref_Document_Status,cre Doc Control Systems,Ref Document Status,cre Doc Control Systems Ref Document Status
cre_Doc_Control_Systems,Ref_Shipping_Agents,cre Doc Control Systems,Ref Shipping Agents,cre Doc Control Systems Ref Shipping Agents
cre_Doc_Control_Systems,Documents,cre Doc Control Systems,Documents,cre Doc Control Systems Documents
cre_Doc_Control_Systems,Employees,cre Doc Control Systems,Employees,cre Doc Control Systems Employees
cre_Doc_Control_Systems,Document_Drafts,cre Doc Control Systems,Document Drafts,cre Doc Control Systems Document Drafts
cre_Doc_Control_Systems,Draft_Copies,cre Doc Control Systems,Draft Copies,cre Doc Control Systems Draft Copies
cre_Doc_Control_Systems,Circulation_History,cre Doc Control Systems,Circulation History,cre Doc Control Systems Circulation History
cre_Doc_Control_Systems,Documents_Mailed,cre Doc Control Systems,Documents Mailed,cre Doc Control Systems Documents Mailed
cre_Doc_Template_Mgt,Ref_Template_Types,cre Doc Template Mgt,Ref Template Types,cre Doc Template Mgt Ref Template Types
cre_Doc_Template_Mgt,Templates,cre Doc Template Mgt,Templates,cre Doc Template Mgt Templates
cre_Doc_Template_Mgt,Documents,cre Doc Template Mgt,Documents,cre Doc Template Mgt Documents
cre_Doc_Template_Mgt,Paragraphs,cre Doc Template Mgt,Paragraphs,cre Doc Template Mgt Paragraphs
cre_Doc_Tracking_DB,Ref_Document_Types,cre Doc Tracking DB,Ref Document Types,cre Doc Tracking DB Ref Document Types
cre_Doc_Tracking_DB,Ref_Calendar,cre Doc Tracking DB,Ref Calendar,cre Doc Tracking DB Ref Calendar
cre_Doc_Tracking_DB,Ref_Locations,cre Doc Tracking DB,Ref Locations,cre Doc Tracking DB Ref Locations
cre_Doc_Tracking_DB,Roles,cre Doc Tracking DB,Roles,cre Doc Tracking DB Roles
cre_Doc_Tracking_DB,All_Documents,cre Doc Tracking DB,All Documents,cre Doc Tracking DB All Documents
cre_Doc_Tracking_DB,Employees,cre Doc Tracking DB,Employees,cre Doc Tracking DB Employees
cre_Doc_Tracking_DB,Document_Locations,cre Doc Tracking DB,Document Locations,cre Doc Tracking DB Document Locations
cre_Doc_Tracking_DB,Documents_to_be_Destroyed,cre Doc Tracking DB,Documents to be Destroyed,cre Doc Tracking DB Documents to be Destroyed
cre_Docs_and_Epenses,Ref_Document_Types,cre Docs and Epenses,Ref Document Types,cre Docs and Epenses Ref Document Types
cre_Docs_and_Epenses,Ref_Budget_Codes,cre Docs and Epenses,Ref Budget Codes,cre Docs and Epenses Ref Budget Codes
cre_Docs_and_Epenses,Projects,cre Docs and Epenses,Projects,cre Docs and Epenses Projects
cre_Docs_and_Epenses,Documents,cre Docs and Epenses,Documents,cre Docs and Epenses Documents
cre_Docs_and_Epenses,Statements,cre Docs and Epenses,Statements,cre Docs and Epenses Statements
cre_Docs_and_Epenses,Documents_with_Expenses,cre Docs and Epenses,Documents with Expenses,cre Docs and Epenses Documents with Expenses
cre_Docs_and_Epenses,Accounts,cre Docs and Epenses,Accounts,cre Docs and Epenses Accounts
cre_Drama_Workshop_Groups,Ref_Payment_Methods,cre Drama Workshop Groups,Ref Payment Methods,cre Drama Workshop Groups Ref Payment Methods
cre_Drama_Workshop_Groups,Ref_Service_Types,cre Drama Workshop Groups,Ref Service Types,cre Drama Workshop Groups Ref Service Types
cre_Drama_Workshop_Groups,Addresses,cre Drama Workshop Groups,Addresses,cre Drama Workshop Groups Addresses
cre_Drama_Workshop_Groups,Products,cre Drama Workshop Groups,Products,cre Drama Workshop Groups Products
cre_Drama_Workshop_Groups,Marketing_Regions,cre Drama Workshop Groups,Marketing Regions,cre Drama Workshop Groups Marketing Regions
cre_Drama_Workshop_Groups,Clients,cre Drama Workshop Groups,Clients,cre Drama Workshop Groups Clients
cre_Drama_Workshop_Groups,Drama_Workshop_Groups,cre Drama Workshop Groups,Drama Workshop Groups,cre Drama Workshop Groups Drama Workshop Groups
cre_Drama_Workshop_Groups,Performers,cre Drama Workshop Groups,Performers,cre Drama Workshop Groups Performers
cre_Drama_Workshop_Groups,Customers,cre Drama Workshop Groups,Customers,cre Drama Workshop Groups Customers
cre_Drama_Workshop_Groups,Stores,cre Drama Workshop Groups,Stores,cre Drama Workshop Groups Stores
cre_Drama_Workshop_Groups,Bookings,cre Drama Workshop Groups,Bookings,cre Drama Workshop Groups Bookings
cre_Drama_Workshop_Groups,Performers_in_Bookings,cre Drama Workshop Groups,Performers in Bookings,cre Drama Workshop Groups Performers in Bookings
cre_Drama_Workshop_Groups,Customer_Orders,cre Drama Workshop Groups,Customer Orders,cre Drama Workshop Groups Customer Orders
cre_Drama_Workshop_Groups,Order_Items,cre Drama Workshop Groups,Order Items,cre Drama Workshop Groups Order Items
cre_Drama_Workshop_Groups,Invoices,cre Drama Workshop Groups,Invoices,cre Drama Workshop Groups Invoices
cre_Drama_Workshop_Groups,Services,cre Drama Workshop Groups,Services,cre Drama Workshop Groups Services
cre_Drama_Workshop_Groups,Bookings_Services,cre Drama Workshop Groups,Bookings Services,cre Drama Workshop Groups Bookings Services
cre_Drama_Workshop_Groups,Invoice_Items,cre Drama Workshop Groups,Invoice Items,cre Drama Workshop Groups Invoice Items
cre_Theme_park,Ref_Hotel_Star_Ratings,cre Theme park,Ref Hotel Star Ratings,cre Theme park Ref Hotel Star Ratings
cre_Theme_park,Locations,cre Theme park,Locations,cre Theme park Locations
cre_Theme_park,Ref_Attraction_Types,cre Theme park,Ref Attraction Types,cre Theme park Ref Attraction Types
cre_Theme_park,Visitors,cre Theme park,Visitors,cre Theme park Visitors
cre_Theme_park,Features,cre Theme park,Features,cre Theme park Features
cre_Theme_park,Hotels,cre Theme park,Hotels,cre Theme park Hotels
cre_Theme_park,Tourist_Attractions,cre Theme park,Tourist Attractions,cre Theme park Tourist Attractions
cre_Theme_park,Street_Markets,cre Theme park,Street Markets,cre Theme park Street Markets
cre_Theme_park,Shops,cre Theme park,Shops,cre Theme park Shops
cre_Theme_park,Museums,cre Theme park,Museums,cre Theme park Museums
cre_Theme_park,Royal_Family,cre Theme park,Royal Family,cre Theme park Royal Family
cre_Theme_park,Theme_Parks,cre Theme park,Theme Parks,cre Theme park Theme Parks
cre_Theme_park,Visits,cre Theme park,Visits,cre Theme park Visits
cre_Theme_park,Photos,cre Theme park,Photos,cre Theme park Photos
cre_Theme_park,Staff,cre Theme park,Staff,cre Theme park Staff
cre_Theme_park,Tourist_Attraction_Features,cre Theme park,Tourist Attraction Features,cre Theme park Tourist Attraction Features
csu_1,Campuses,csu 1,Campuses,csu 1 Campuses
csu_1,csu_fees,csu 1,csu fees,csu 1 csu fees
csu_1,degrees,csu 1,degrees,csu 1 degrees
csu_1,discipline_enrollments,csu 1,discipline enrollments,csu 1 discipline enrollments
csu_1,enrollments,csu 1,enrollments,csu 1 enrollments
csu_1,faculty,csu 1,faculty,csu 1 faculty
culture_company,book_club,culture company,book club,culture company book club
culture_company,movie,culture company,movie,culture company movie
culture_company,culture_company,culture company,culture company,culture company culture company
customer_complaints,Staff,customer complaints,Staff,customer complaints Staff
customer_complaints,Customers,customer complaints,Customers,customer complaints Customers
customer_complaints,Products,customer complaints,Products,customer complaints Products
customer_complaints,Complaints,customer complaints,Complaints,customer complaints Complaints
customer_deliveries,Products,customer deliveries,Products,customer deliveries Products
customer_deliveries,Addresses,customer deliveries,Addresses,customer deliveries Addresses
customer_deliveries,Customers,customer deliveries,Customers,customer deliveries Customers
customer_deliveries,Regular_Orders,customer deliveries,Regular Orders,customer deliveries Regular Orders
customer_deliveries,Regular_Order_Products,customer deliveries,Regular Order Products,customer deliveries Regular Order Products
customer_deliveries,Actual_Orders,customer deliveries,Actual Orders,customer deliveries Actual Orders
customer_deliveries,Actual_Order_Products,customer deliveries,Actual Order Products,customer deliveries Actual Order Products
customer_deliveries,Customer_Addresses,customer deliveries,Customer Addresses,customer deliveries Customer Addresses
customer_deliveries,Delivery_Routes,customer deliveries,Delivery Routes,customer deliveries Delivery Routes
customer_deliveries,Delivery_Route_Locations,customer deliveries,Delivery Route Locations,customer deliveries Delivery Route Locations
customer_deliveries,Trucks,customer deliveries,Trucks,customer deliveries Trucks
customer_deliveries,Employees,customer deliveries,Employees,customer deliveries Employees
customer_deliveries,Order_Deliveries,customer deliveries,Order Deliveries,customer deliveries Order Deliveries
customers_and_addresses,Addresses,customers and addresses,Addresses,customers and addresses Addresses
customers_and_addresses,Products,customers and addresses,Products,customers and addresses Products
customers_and_addresses,Customers,customers and addresses,Customers,customers and addresses Customers
customers_and_addresses,Customer_Addresses,customers and addresses,Customer Addresses,customers and addresses Customer Addresses
customers_and_addresses,Customer_Contact_Channels,customers and addresses,Customer Contact Channels,customers and addresses Customer Contact Channels
customers_and_addresses,Customer_Orders,customers and addresses,Customer Orders,customers and addresses Customer Orders
customers_and_addresses,Order_Items,customers and addresses,Order Items,customers and addresses Order Items
customers_and_invoices,Customers,customers and invoices,Customers,customers and invoices Customers
customers_and_invoices,Orders,customers and invoices,Orders,customers and invoices Orders
customers_and_invoices,Invoices,customers and invoices,Invoices,customers and invoices Invoices
customers_and_invoices,Accounts,customers and invoices,Accounts,customers and invoices Accounts
customers_and_invoices,Product_Categories,customers and invoices,Product Categories,customers and invoices Product Categories
customers_and_invoices,Products,customers and invoices,Products,customers and invoices Products
customers_and_invoices,Financial_Transactions,customers and invoices,Financial Transactions,customers and invoices Financial Transactions
customers_and_invoices,Order_Items,customers and invoices,Order Items,customers and invoices Order Items
customers_and_invoices,Invoice_Line_Items,customers and invoices,Invoice Line Items,customers and invoices Invoice Line Items
customers_and_products_contacts,Addresses,customers and products contacts,Addresses,customers and products contacts Addresses
customers_and_products_contacts,Products,customers and products contacts,Products,customers and products contacts Products
customers_and_products_contacts,Customers,customers and products contacts,Customers,customers and products contacts Customers
customers_and_products_contacts,Contacts,customers and products contacts,Contacts,customers and products contacts Contacts
customers_and_products_contacts,Customer_Address_History,customers and products contacts,Customer Address History,customers and products contacts Customer Address History
customers_and_products_contacts,Customer_Orders,customers and products contacts,Customer Orders,customers and products contacts Customer Orders
customers_and_products_contacts,Order_Items,customers and products contacts,Order Items,customers and products contacts Order Items
customers_campaigns_ecommerce,Premises,customers campaigns ecommerce,Premises,customers campaigns ecommerce Premises
customers_campaigns_ecommerce,Products,customers campaigns ecommerce,Products,customers campaigns ecommerce Products
customers_campaigns_ecommerce,Customers,customers campaigns ecommerce,Customers,customers campaigns ecommerce Customers
customers_campaigns_ecommerce,Mailshot_Campaigns,customers campaigns ecommerce,Mailshot Campaigns,customers campaigns ecommerce Mailshot Campaigns
customers_campaigns_ecommerce,Customer_Addresses,customers campaigns ecommerce,Customer Addresses,customers campaigns ecommerce Customer Addresses
customers_campaigns_ecommerce,Customer_Orders,customers campaigns ecommerce,Customer Orders,customers campaigns ecommerce Customer Orders
customers_campaigns_ecommerce,Mailshot_Customers,customers campaigns ecommerce,Mailshot Customers,customers campaigns ecommerce Mailshot Customers
customers_campaigns_ecommerce,Order_Items,customers campaigns ecommerce,Order Items,customers campaigns ecommerce Order Items
customers_card_transactions,Accounts,customers card transactions,Accounts,customers card transactions Accounts
customers_card_transactions,Customers,customers card transactions,Customers,customers card transactions Customers
customers_card_transactions,Customers_Cards,customers card transactions,Customers Cards,customers card transactions Customers Cards
customers_card_transactions,Financial_Transactions,customers card transactions,Financial Transactions,customers card transactions Financial Transactions
debate,people,debate,people,debate people
debate,debate,debate,debate,debate debate
debate,debate_people,debate,debate people,debate debate people
decoration_competition,college,decoration competition,college,decoration competition college
decoration_competition,member,decoration competition,member,decoration competition member
decoration_competition,round,decoration competition,round,decoration competition round
department_store,Addresses,department store,Addresses,department store Addresses
department_store,Staff,department store,Staff,department store Staff
department_store,Suppliers,department store,Suppliers,department store Suppliers
department_store,Department_Store_Chain,department store,Department Store Chain,department store Department Store Chain
department_store,Customers,department store,Customers,department store Customers
department_store,Products,department store,Products,department store Products
department_store,Supplier_Addresses,department store,Supplier Addresses,department store Supplier Addresses
department_store,Customer_Addresses,department store,Customer Addresses,department store Customer Addresses
department_store,Customer_Orders,department store,Customer Orders,department store Customer Orders
department_store,Department_Stores,department store,Department Stores,department store Department Stores
department_store,Departments,department store,Departments,department store Departments
department_store,Order_Items,department store,Order Items,department store Order Items
department_store,Product_Suppliers,department store,Product Suppliers,department store Product Suppliers
department_store,Staff_Department_Assignments,department store,Staff Department Assignments,department store Staff Department Assignments
device,device,device,device,device device
device,shop,device,shop,device shop
device,stock,device,stock,device stock
document_management,Roles,document management,Roles,document management Roles
document_management,Users,document management,Users,document management Users
document_management,Document_Structures,document management,Document Structures,document management Document Structures
document_management,Functional_Areas,document management,Functional Areas,document management Functional Areas
document_management,Images,document management,Images,document management Images
document_management,Documents,document management,Documents,document management Documents
document_management,Document_Functional_Areas,document management,Document Functional Areas,document management Document Functional Areas
document_management,Document_Sections,document management,Document Sections,document management Document Sections
document_management,Document_Sections_Images,document management,Document Sections Images,document management Document Sections Images
dog_kennels,Breeds,dog kennels,Breeds,dog kennels Breeds
dog_kennels,Charges,dog kennels,Charges,dog kennels Charges
dog_kennels,Sizes,dog kennels,Sizes,dog kennels Sizes
dog_kennels,Treatment_Types,dog kennels,Treatment Types,dog kennels Treatment Types
dog_kennels,Owners,dog kennels,Owners,dog kennels Owners
dog_kennels,Dogs,dog kennels,Dogs,dog kennels Dogs
dog_kennels,Professionals,dog kennels,Professionals,dog kennels Professionals
dog_kennels,Treatments,dog kennels,Treatments,dog kennels Treatments
dorm_1,Student,dorm 1,Student,dorm 1 Student
dorm_1,Dorm,dorm 1,Dorm,dorm 1 Dorm
dorm_1,Lives_in,dorm 1,Lives in,dorm 1 Lives in
driving_school,Addresses,driving school,Addresses,driving school Addresses
driving_school,Staff,driving school,Staff,driving school Staff
driving_school,Vehicles,driving school,Vehicles,driving school Vehicles
driving_school,Customers,driving school,Customers,driving school Customers
driving_school,Customer_Payments,driving school,Customer Payments,driving school Customer Payments
driving_school,Lessons,driving school,Lessons,driving school Lessons
e_government,Addresses,e government,Addresses,e government Addresses
e_government,Services,e government,Services,e government Services
e_government,Forms,e government,Forms,e government Forms
e_government,Individuals,e government,Individuals,e government Individuals
e_government,Organizations,e government,Organizations,e government Organizations
e_government,Parties,e government,Parties,e government Parties
e_government,Organization_Contact_Individuals,e government,Organization Contact Individuals,e government Organization Contact Individuals
e_government,Party_Addresses,e government,Party Addresses,e government Party Addresses
e_government,Party_Forms,e government,Party Forms,e government Party Forms
e_government,Party_Services,e government,Party Services,e government Party Services
e_learning,Course_Authors_and_Tutors,e learning,Course Authors and Tutors,e learning Course Authors and Tutors
e_learning,Students,e learning,Students,e learning Students
e_learning,Subjects,e learning,Subjects,e learning Subjects
e_learning,Courses,e learning,Courses,e learning Courses
e_learning,Student_Course_Enrolment,e learning,Student Course Enrolment,e learning Student Course Enrolment
e_learning,Student_Tests_Taken,e learning,Student Tests Taken,e learning Student Tests Taken
election,county,election,county,election county
election,party,election,party,election party
election,election,election,election,election election
election_representative,election,election representative,election,election representative election
election_representative,representative,election representative,representative,election representative representative
employee_hire_evaluation,employee,employee hire evaluation,employee,employee hire evaluation employee
employee_hire_evaluation,shop,employee hire evaluation,shop,employee hire evaluation shop
employee_hire_evaluation,hiring,employee hire evaluation,hiring,employee hire evaluation hiring
employee_hire_evaluation,evaluation,employee hire evaluation,evaluation,employee hire evaluation evaluation
entertainment_awards,festival_detail,entertainment awards,festival detail,entertainment awards festival detail
entertainment_awards,artwork,entertainment awards,artwork,entertainment awards artwork
entertainment_awards,nomination,entertainment awards,nomination,entertainment awards nomination
entrepreneur,entrepreneur,entrepreneur,entrepreneur,entrepreneur entrepreneur
entrepreneur,people,entrepreneur,people,entrepreneur people
farm,city,farm,city,farm city
farm,farm,farm,farm,farm farm
farm,farm_competition,farm,farm competition,farm farm competition
